Emotion,Text
4, A Capricorn is serious-minded and practical . She likes to do things in conventional ways . That sounds just like you ! 
0,"Frank ’ s getting married , do you believe this ? "
6, Is he really ? 
0," Yes , he is . He loves the girl very much . "
0, Who is he marring ? 
0," A girl he met on holiday in Spain , I think . "
0, Have they set a date for the wedding ? 
0, Not yet . 
0,I hear you bought a new house in the northern suburbs . 
0," That ’ s right , we bought it the same day we came on the market . "
0, What kind of house is it ? 
4, It ’ s a wonderful Spanish style . 
4," Oh , I love the roof tiles on Spanish style houses . "
4, And it ’ s a bargaining . A house like this in river side costs double the price . 
4," Great , is it a two bedroom house ? "
0," No , it has three bedrooms and three beds , and has a living room with a twelve-foot ceiling . There ’ s a two-car garage . "
4, That ’ s a nice area too . It ’ ll be a good investment for you . 
0," Yeas , when will you buy a house ? "
0," Not untill the end of this year , you know , just before my wedding . "
4," Right , congratulations . "
4, Thank you . 
0,"Hi , Becky , what's up ? "
0," Not much , except that my mother-in-law is driving me up the wall . "
0, What's the problem ? 
0, She loves to nit-pick and criticizes everything that I do . I can never do anything right when she's around . 
0, For example ? 
0," Well , last week I invited her over to dinner . My husband and I had no problem with the food , but if you listened to her , then it would seem like I fed her old meat and rotten vegetables . There's just nothing can please her . "
0," No , I can't see that happening . I know you're a good cook and nothing like that would ever happen . "
0, It's not just that . She also criticizes how we raise the kids . 
0," My mother-in-law used to do the same thing to us . If it wasn't disciplining them enough , then we were disciplining them too much . She also complained about the food we fed them , the schools we sent them too , and everything else under the sun . "
0, You said she used to ? How did you stop her ? 
0," We basically sat her down and told her how we felt about her constant criticizing , and how we welcomed her advice but hoped she'd let us do our things . She understood , and now everything is a lot more peaceful . "
4, That sounds like a good idea . I'll have to try that . 
0,How are Zina's new programmers working out ? 
0," I hate to admit it , but they're good . And fast . The Filipino kid is a genius . "
0," So you'll make the Stars.com deadline , and have us up and running next week ? "
0," It'll be close , but we'll make it . "
0," Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . "
0," And if we don't need them , we won't need Zina , either . "
0,Do you like cooking ? 
4, Yes . I like cooking very much . I got this hobby when I was 12 years sold . 
0, Why do you like it ? 
0, I have no idea . I like cooking by myself . I like to taste delicious food . 
4, That's wonderful ! 
0," And I love trying new recipes , which I usually test with my friends . You can come , too . "
6, Really ? I hope I can have a chance to taste it . Don't forget to tell me . 
0, Certainly . 
0,Anyone home ? Jen ! 
0, I'm in the kitchen ... let yourself in ! 
0, Wow ! You're really working up a storm ! 
0, I know . I've even worked up a sweat . 
0, You look like a cooking show host--only messier . 
4,You look so tan and healthy ! 
4, Thanks . I just got back from summer camp . 
0, How was it ? 
4, Great . I got to try so many things for the first time . 
0, Like what ? 
0," I went sailing , fishing , and horseback riding . "
0, I ’ m so jealous . 
4, The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes ! 
0,"Diana , do you like the perfume I gave you ? "
0," It ’ s good . But to tell you the truth , I don ’ t wear perfume . "
0, I ’ m sorry . I didn ’ t know that . 
4, That ’ s all right . Thank you all the same . 
0,"Ah , ah , ah ... "
0," All right , Bill.Here ' s your daily exercise schedule . You are to jog before breakfast . "
0, Jog ? 
0," Then , you are to walk to work . "
0, Walk ? 
0, Thirty minutes in gym at lunch time . 
0, Oh no . 
0," Use the stairs , never the elevator . "
0," Oh , dear . "
0," And three times a week , you can either swim , play racketball , or hand ball . "
0, Oh no . 
0," OK , you can stop now.It ' s time for the dance class . "
0, Dance class ! I don't know how . 
0, You will . 
0, Oh ... 
0,"Hi Bill , I saw your grandma yesterday . "
0, Oh where was that ? 
0, I was running around the track at my college and there she was walking around the same track . 
0, Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods . 
0," Well , it pays off for her.How old is she anyway ? "
0, She will be 86 next month . 
6, That is truly amazing ! 
0,I would like to register for a class today . 
0," No problem , what class would you like to take ? "
0, I would very much enjoy taking a Psychology class.Because I'm crazy . 
0, There are two classes that are still open . 
0, Which days are these classes on ? 
0, The first class is a Tuesday and Thursday class from two to three . 
0, What about the other class ? 
0, The other class is on Monday and Wednesday from 10 am - 12 . 
0, Are you sure there are no more open classes ? 
0, I'm positive . 
0, Sign me up for Monday and Wednesday . 
0," Okay , I'll sign you up . "
0,"Dad , why are you taping the windows ? "
0," Honey , a typhoon is coming . "
6," Really ? Wow , I don't have to go to school tomorrow . "
0," Jenny , come and help , we need to prepare more food . "
0, OK . Dad ! I'm coming . 
0,"Hi , my name is Lean , and I'm from Russia . "
0," Nice to meet you , Lean . My name is Alike . I'm from Japan . "
0, To me English is a difficult language . 
0, A second language is always difficult . 
0," True , but English is harder than most . It's a crazy language . "
6, A crazy language ? Why do you say that ? 
0, One letter can have several pronunciations and one word can have several meanings . 
0, No wonder you say English is a crazy language . 
0,Can I help you ? 
0," I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . "
0, I'll certainly try to help you . What topic is your paper on ? 
0, My paper is on the influence of television on children . 
0, There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
4, Thank you for you help . 
0,Here ’ s your hot dog and beer . What happened ? Did I miss anything ? 
0," Yeah , Cal Ripen just hit a home run . "
0, What ’ s the score ? 
0," Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base . "
0, So Baltimore is winning ? 
4, Right . 
4, This is a really great place to watch a baseball game . 
4," Yeah , there isn ’ t a bad seat in the place . "
4," The fans are great here , too . Not like in Philadelphia . "
4, It was a great idea to spend a day watching a game . 
4," Yeah , it reminds you why they say baseball is America ’ s favorite pastime . "
4,How do you like the pizza here ? 
4, Perfect . It really hits the spot . 
0,Do you have a light ? 
0," Sorry , I don't smoke . "
3,I was scared stiff of giving my first performance . 
4, Were you ? your performance was excellent . 
4, Thank you for your kindly words . 
0,Excuse me . Could you please take a picture of us with this camera ? 
4, Sure . Which button do I press to shoot ? 
0, This one . 
0, Do I have to focus it ? 
0," No , this is a focus-free camera . All you have to do is point and press the button . "
4, All right . Say cheese ! 
0,Every country should face the history . 
0," Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history . "
0," Sometimes , we , human beings , really had done something wrong , so we should admit it at first . "
0, But there is always somebody who wants to turn his back on the true history . 
0," I believe such things won ’ t be realized , just daydreaming . "
0,"Do you like traveling , Kathy ? "
0," I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ... "
0, Or getting stuck in traffic jams when you ’ re driving . 
0, Exactly . 
0,Your house is too small . Why not buy a big one . 
0, I do wish I could afford one . 
0, You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases . 
0, Of course I know that . But don't you notice that the house price is skyrocketing ? 
0,"How do you do , Prof.Smith . "
4," How do you do , Ms . Yang.You speak very good English . "
4, Thank you . I begin to like English even when I was a child . 
0, Where did you learn it ? 
0," At school , in China.This is my first time to be out of my own country . "
6, It's amazing . 
0,Do you want black or white coffee ? 
0," White , please "
0, Look ! there's a Folk concert tomorrow evening . Do you Want to go ? 
0, I don't like Folk music very much . 
0, What kind of music do you like ? 
0, I like classical music . Do you ? 
0, Not very much . Classical music sends me to sleep 
0, I don't believe you . 
0, It ’ s true . 
0, You are funny ! 
0, So are you ! How about another coffee ? 
0,What do you like to do in your spare time ? 
0, I like playing chess . 
0, Do you have any hobbies besides playing chess ? 
0, I'm afraid not . 
0, Do you have any hobbies like playing tennis or things like that ? 
0," Oh , yes . I like playing basketball . "
0, Can you tell me why you like it ? 
0, Because I like the feeling of cooperating with others . 
0,Where is John ? I can't find him anywhere . 
0, Haven't you heard that he is in prison ? 
6, What ? Beg your pardon . 
0, John is in prison now . He was copped outstealing . 
6, I just cann't believe my ears ! 
0,Can I help you ? 
0," I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . "
0, I'll certainly try to help you.What topic is your paper on ? 
0, My paper is on the influence of television on children . 
0, There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
4, Thank you for you help . 
0,"Hey , Ted . What are you up to this Friday ? "
0," Well , I have the day off from work . "
4, That ’ s great ! Do you have any plans ? 
0," Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy . "
4, Sounds nice . 
0," Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies . "
0, Can I stop by ? 
0, Sure . Any time . 
0,You honestly believe the world ’ s improving every year ? 
0," Yes , I do . I think that science is making us wiser . What do you think ? "
0, I don ’ t think you ’ re right there . 
0, I believe industry is making us wealthier . 
0, I don ’ t believe that . 
0," And in my opinion , medicine is making us healthier . "
0," I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ? "
0," I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago . "
0, That ’ s your opinion not mine . 
0,What do you plan to do for your birthday ? 
0," I want to have a picnic with my friends , Mum . "
4, How about a party at home ? That way we can get together and celebrate it . 
4," OK , Mum . I'll invite my friends home . "
0,How may I help you ? 
0, I would like to return this book . 
0, Is that all you need ? 
0, I also want to check out this video . 
0, Is that all you would like to check out ? 
0, That ’ s all I need . 
0, Do you have your library card ? 
0, Here it is . 
0, Make sure to take proper care of this video . 
0, That won ’ t be a problem . 
0," If you damage the video , you will be fined . "
0, I won ’ t damage it . 
0,What's the matter with you then ? You look miserable . 
0, It's us . 
0, What do you mean by us . 
0," Well , you always say you're busy . "
0, That's right . 
0, And you often go back to live with your parents and leave our son in the room by himself . 
0," I ... I ... I miss my parents , also they miss me . "
0," Oh I remember , I cut terrible calls , and you didn't say anything about it . "
0, You mean I am groaned a few words ? 
0, Totally not . Perhaps it's about our marriage . 
0,"Hi , Mary . You look pale today . What's the matter with you ? "
0, I think I've caught a cold . Now I'm aching all over . 
0, You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon . 
0, Thank you . I suppose I should go to see a doctor . 
4,"I feel like going for a drink , it's been a long day . "
4," Great idea ! Peter , I could use the drink . "
4, How about the new bar across road ? 
4," Sounds good . The food there is fantastic , too . "
4," I agree , I had lunch there last week . "
4, excellent ! That sounds like a plan . 
0,"Could you tell me the right time , please ? "
0, Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days . 
0, You have to go and fix it . 
0, Yes . I will . 
0,does your family have a record of your ancestors ? 
0, sure . My mom has been working on our family tree for years . She ’ s always updating it . 
0, do you have a copy of your family tree in your house ? I ’ d love to see it . 
0," I can show it to you now , if you like . I think it goes back about 8 generations so far . "
0, that ’ s amazing . Do you have a large extended family ? 
0, I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side . 
0, are you very close to your first-cousins ? 
0," the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones . "
0, I see . who ’ s the head of your household ? 
0," it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family . "
0, that ’ s interesting . What does your grandfather think of your step-mother ? 
0," at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother . "
0," that ’ s pretty much how you feel about your step-mother . Like grandmother , like grandson . "
4,"Hi , Mr . Wang . Do you feel like going boating with me ? "
4," Sounds interesting , I haven't gone boating for some time now , and what time ? "
4, How about tomorrow afternoon ? 
4, Sure . Where shall I meet you ? 
4, At the gate of the park . 
4, Great . I look forward to meeting you . 
4, See you then . 
4, See you . 
0,I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ? 
4," Yes , it's so exciting , though I had the most falls in our skiing team . "
0, Isn't there any coach to teach you how to ski ? 
0, Of course there is . The top-level coaches there are from the State Sports General Administration . 
0, Could you move smoothly ? 
0, Yes.My face even ached in the icy wind . 
0, What happened afterwards ? 
0, I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was . 
0, Poor girl ! 
4,You look pale recently . 
4, Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . 
4, Take good care of yourself . 
4, Thank you . I will . 
0,"Hey , Maggy , Did you hear about David ? "
0," About David ? No , I didn ’ t hear anything . "
0," You know , about David and his new boss . "
0," Sorry , I don ’ t quite follow you . "
0," Well , I heard David has been fired . "
0," Oh , that is a shame . He is really hard working . "
0,how do you usually get to school ? 
0, I usually ride my bike . Which form of transport do you prefer to use ? 
0," I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car . "
0, I think we should discourage people from using their private cars . They produce too much pollution ! 
0," I agree , but I would find it difficult to stop using my car . It's just so convenient . "
0," cars might be convenient , but they're so bad for the environment . "
0, do you have a car ? 
0," no . I used to have one though . Once I started using my bicycle to get around , I found that I didn't really need it . "
0," maybe if I sold my car now , I wouldn't be so tempted to use it . "
0, you could try . It would save you a lot of money . 
0," that's true . Every month , I spend hundreds of dollars on gas , insurance , and repairs . "
0," if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too ! "
0, I could stand to lose a few pounds . Having a car has made me lazy . I never end up walking anywhere ! 
0, let's go to a car dealership . I'll help you try to sell your car for a good price . 
0, sounds good ! Let's go ! 
0,What's wrong with him ? 
0, His nose is out of joint because we forgot to invite him to the party . 
0,"What are you going to do for one year abroad , Tom ? "
0," Study , study , study . I want to learn a lot . "
0, You are going to take courses ? 
0, Yes . I am going to take some university courses there . 
0, Sounds hard . 
0," Yes , but I think it's probably for the best . "
0, Won ’ t you get lonely ? 
0," Hey , I am a pretty cool guy . I will make friends , and I'll have a lot of extracurricular activities too . You know , like fencing , or theater or something . "
4,"Isn't this lovely weather ? Will you help me water the flowers , Jack ? "
0," Well , do you think I have to ? "
0, I do.We haven't watered them for quite a few days . 
0, Please look at the sky.Don ' t you see the dark clouds ? It's going to rain soon . 
4, Good.So we don't have to work.How nice ! 
0, But I don't think it's so nice . 
0, Why ? 
0, The weather report says it's going to rain for a whole week . 
0," Oh , I'm afraid all the flowers will die in the rain . "
0,"On , darn . The grocery store is closed . "
0," Yeah , this one closes at ten . We could drive to the 24 - hour store on sixth . "
0, Alright . We are out of everything . 
0, I wish the store close to us was open 24 - house a day . 
0," I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home . "
0," Yeah , and the prices there are very high . "
0, I know . Three dollars for milk . 
0,Do you think they two will get married ? 
0, You can count on it . 
0," I think so.Yes , they get along so well . "
4, I like him.He ' s good for her . 
4, You're right . He sure is . 
0,"Dad , where are we off to ? "
0, First we will go to the city centre and stop for something to drink . Then we will visit the University Museum . 
0, Where are we going to have a drink ? 
0, There is a coffee shop round the corner . Can you see that big building at the end of the road ? 
0, Yes ? 
0, That is a bank . The coffee shop is opposite the bank . 
0, Good . I will have hot chocolate . 
0, A stop ! Wait for the lights to turn green . 
0, When crossing the road you must always pay attention to what's around you . 
0, Sorry . How far is the museum ? 
0, I am not sure . We will ask for directions in the coffee shop . 
0, Here we are . You find us a table and I'll get the drinks . 
4,How about going to the cinema tonight ? 
4, That's great . What's on tonight ? 
0," I am not sure about the name of the film , but I know it's a romantic one . "
0, Romantic ? I am afraid I like thrillers better . 
0, Don't you think it's too bloody ? 
0," On the contrary , very exciting . "
0,I feel so uncomfortable . 
0, Are you sick ? 
0, No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge . 
0, He ’ ll finish writing in a minute . 
0,I have made up my mind . I am getting a tattoo . 
6, Really ? Are you sure ? 
0, Yeah ! Why not ? They are trendy and look great ! I want to get a dragon on my arm or maybe a tiger on my back . 
0," Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot ! "
6, Really ? 
0, Of course ! They use this machine with a needle that pokes your skin and inserts the ink . 
0," Oh , I didn ’ t know that ! I thought they just paint it on your skin or something . "
0," I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic . "
0, Maybe I should just get a tongue piercing ! 
0,"Excuse me , what's the screen near your steering wheel for ? "
0, It's a portable TV . It's a popular thing now . 
0," Oh , that's new to me . So what's on everyday ? "
0," News about current affairs , documentaries , music , movies , noncommercial ads and so on . "
0, Is there anything interesting ? 
0," Yes , there are something good and informative . I think that many people underestimate the value of TV in education . "
0, I agree . Are there any commercials on the TV ? 
0, Of course . Because the TV stations need to make money from commercials between the programs . 
0, That makes a lot of sense . Does the TV work well ? 
0, Not always . It depends on the transmission of the satellite signals . 
0, I got it . Do you pay for the programs ? 
0," Yes , 50 Yuan per month . "
2,"Oh , no ! "
2, How dreadful ! 
0, Look at the view from the window . 
2," Oh , dear . That ’ s terrible . Not at all what I expected . "
2," It ’ s awful , isn ’ t it ? "
2, I can ’ t bear to look at it . I ’ m rather disappointed . 
0, It can ’ t be helped . 
0,"What do you do in your free time , Nancy ? "
0," Well , I like playing the violin . "
0, Really ? How long have you been playing the violin ? 
0, About ten years so far . I started learning when I was in middle school . 
4, That's really interesting . 
4, Sure . So what about you ? Do you have any hobbies ? 
4," Well , I like collecting matchbox ! I'm not sure if that counts , though . "
4, Of course it does . Everybody has his own hobby . 
0,How can I tell her about this ? 
0," Don't worry , you'll find a way . "
0, There is no need to be so frustrated . 
0, How can you live without job in the future ? 
0," Don't worry , you'll find a way . "
0,What sports do you like to play ? 
0, I like baseball and basketball . 
0, How about football ? 
0," In my country football is brand new , so I never learned the game when I was younger . "
0, It's a very popular game in America . 
0, Yeah . I heard a lot about it . Is it really that fun ? 
0," For me , it's one of those games that are fun to both watch and play . "
0, Are you a football player ? 
0," No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football . "
0, What is two hand touch and flag football ? 
0," Instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing . "
0, I see . It's safer then right ? 
4," Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us . "
4, I'll give it a try . Give me a call and let's go down together . 
4, Ok . I'll call you Saturday morning . 
4, Great . 
0,What upsets you ? 
5," My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date . "
0, It is not your mother finding one for you ? 
0," I will find one myself , of course . I ’ m a modern girl . "
0," Perhaps you can try the three minutes date , the latest type . "
2," You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea . "
0," No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes . "
0, I don ’ t think it makes sense . Three minutes is such a short time . 
0," I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight . "
2," Anyway , I don ’ t want to post my face up for sale on the internet like that . "
0," Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher . "
2, I don ’ t want to post my personal information on the internet . I ’ m not knowing who is reading it . 
0,Are you going to the party on Saturday ? 
0, I was thinking about it . Are you ? 
4," Yeah , I heard it's going to be a lot of fun . "
6," Really ? Well , what time does it start ? "
0, It starts at 8 
0," Well , who all is going to be there ? "
0, Everyone from school . 
0, How do you know it's going to be so fun ? 
4," This party is going to have a DJ , food , and drinks . "
4," Wow , that does sound like it's going to be fun . "
4, So am I going to see you at the party ? 
4," Yeah , I will be there . "
0,Could you talk to me for a few minutes about my grades ? 
0, Step into my office for a moment . What is your concern ? 
0, Am I failing ? 
0, Let's go on the computer to see what's up . Do you think you are doing well ? 
5, I am pretty sure that I am in trouble . 
0," I can see that you are trying , but where do you think you could improve ? "
0, I missed a few classes ; I need to make sure I come to school on a regular basis . 
0," Having a regular study routine and following it is very important , right ? "
0, I'll try ; it's hard ! 
0, Thanks for stopping by ! 
4,Good luck on your test tomorrow . We'll be crossing our fingers for you ! 
4, Thanks . 
1,I'll never ever work together with him ! 
0, What happened ? Quarrel again ? 
1, Will you take my materials back from him for me ? Please ! 
0, Don't ask me . I don't wanna be involved in your quarrel . 
1,"Oh , my God ! I've been cheated ! "
6, What ? What did you buy ? 
1, It's a brick ! I can't believe how stupid I was . Damn it ! 
0, What is it ? Why did you buy a brick ? 
1," There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . "
0, And ? 
0, So he said he'd sell me one for twenty dollars . A four-hundred-dollar camera for twenty bucks . 
0, And it's a brick ? 
0, Yes . 
6, I can't believe how stupid you are . Why didn't you open the box ? 
0," I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it's opened , other people won't believe it's new . "
0, So he had the boxes wrapped in plastic . 
0," Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new . "
0, But why would a guy be selling new video cameras for twenty dollars ? 
0, He said he had to get rid of them . They were stolen . 
0," Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated ! "
0," C'mon , don't blame me ! I thought it was a new camera . We could use it.We were even thinking about buying a camera . I don't understand how he could have such a perfect-looking box . "
0, That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there.Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks . 
0," You're right , Sarah . I was a fool . I can't believe it . How could I fall for such a trick ? "
0,Is the clock right ? 
0, I'm afraid it gains a little . 
0, By how many minutes ? 
0, Two . 
0,"Hey , Mary , what's up ? "
0," Just so so . Last night I met this great guy at the bar and we had such a wonderful time , so we decided to meet again tonight . "
4," Oh , that's exciting . What does this guy look like ? Is he hot ? "
0," Well , I didn't think so at first . But as we started talking , I found him extremely funny and witty . I couldn't stop laughing at his jokes ! And we have so much in common . We like the same team , music , and most amazingly , we both love Chinese food ! I have the feeling that we are going to be great friends . "
4, It seems you two are a good match . What qualities do you look for in a friend ? 
0," There's nothing definite I think . I don't have a list or anything , but when I first meet somebody , I can usually tell whether or not that person is going to be a good friend . It seems I have radar helping me spot new friends . "
6," Well , that's something I've never heard of . But if you ask me what I value most in a friend , I would say honesty . "
0, I agree . You can't expect a close relationship with a dishonest person . Those are the people that will turn their back on you when you are in need . 
0," Yeah , I know . A friend in need is a friend indeed . I don't need fair-weather friends either . "
0,What ’ s up ? You don ’ t look too good . 
2," Yeah , my head hurts , that ’ s all . I ’ Ve been in physics class all day . It ’ s killer ! "
0," I liked physics . It ’ s all math , really . arcs , curves , velocity , cool stuff . "
0," Yeah , yeah , but today ’ s lesson was all about the creation of the universe . "
0, A physics class about the creation of the universe ? That ’ s some pretty unscientific language there . Sounds more religious to me . 
0, It ’ s all religion . Take the theory of the Big Bang.How is it possible that all of the stuff in the universe comes from an explosion ? That ’ s no better than Atlas carrying the globe on his back or African myths about turtles and stuff . 
0," Turtles ? Whatever ... Look , all that ’ s required for the creation of matter an imbalance of particles and anti-particles . At least , that ’ s what the math says . "
0," Math , sheath . What ’ s the evidence ? "
0," There is evidence ! You know Edwin Hubble ? He ’ s the guy who in the early twentieth century was the first scientist to measure the drift of matter in the universe , thus advancing notions of an expanding universe . What would it be expanding from ? Well , the Big Bang ... DUH ! "
0," Anyway , it ’ s just a theory . Why do people go around touting theories ? Where ’ s the scientific rigor in that ? "
0," Dude , don ’ t equivocate . A theory only becomes a theory after withstanding rigorous testing . You slept through class , didn ’ t you ? "
0,Today more and more people advocate lifelong learning . But people have different views about lifelong learning . How do you understand lifelong learning ? 
0, I think lifelong learning is the concept that it's never too soon or too late for learning 
0, Does that mean studying all the time ? 
0," I don't think so . I think it's about your attitude towards learning . One should be open to new ideas , decisions , skills or behaviors . "
0, Then the axiom - ' You can't teach an old dog new tricks ' doesn't work any longer . 
0, You're right . Lifelong learning is about finding learning opportunities at all ages and in numerous contexts 
0," Yes , I agree with you . When I retired I will participate in programs to keep momentally active . "
0," Me too . To keep up with the changing world , one must be involved in lifelong learning and be ready to accept new things . "
0, You know what ? I've recently been teaching myself French . 
6, Really ? That's great ! I know that your company has a lot of clients in France . 
0," Yes , so I want to learn French to develop my career . "
0,How old are you ? 
0, Nine ... but I'll be ten on May 1st.When is your birthday ? 
0, I'm older than you ! I'll be ten on April 14th . 
0, Are you going to have a birthday party ? 
0, Maybe . I'll have to ask my mother . 
1,It smells like an ashtray in here ! 
0, Hi honey ! What ’ s wrong ? Why do you have that look on your face ? 
1, What ’ s wrong ? I thought we agreed that you were gonna quit smoking . 
0, No ! I said I was going to cut down which is very different . You can ’ t just expect me to go cold turkey overnight ! 
1," Look , there are other ways to quit . You can try the nicotine patch , or nicotine chewing gum . We spend a fortune on cigarettes every month and now laws are cracking down and not allowing smoking in any public place . It ’ s not like you can just light up like before . "
0," I know , I know . I am trying but , I don ’ t have the willpower to just quit . I can ’ t fight with the urge to reach for my pack of smokes in the morning with coffee or after lunch ! Please understand ? "
1, Fine ! I want a divorce ! 
0,Why are you shivering ? 
0, It's freezing . 
0,It seems that you get antsy when you hear I praise another guy . 
2," I get antsy not because you praise a guy , but because you may be taken for a ride by a guy like him . "
0, How come you think of him that way ? 
2, Because you seem to have lost your vigilance . You should be on the watch out . 
0, I have no reason to distrust him . He's never caused any harm . 
1, Isn't there anything that sounds fishy ? 
0, Nothing smells a rat . I told you that he's an all-right guy . 
6, All-right guy ? All right . Let's talk about something else instead . 
2,Cheese ! It tastes like cardboard . 
2, I think so . Maybe that ’ s why it ’ s cheap here . 
0,Have you signed up to join the company ’ s Christmas party ? 
